"ECUADOR22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECUADOR23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECUADOR24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECUADOR25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECUADOR26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECUADOR27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECUADOR28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECUADOR29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ELQUIMBO",322,322,322,144,157,208,115,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"ESCUELAMINAS",37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
"ESMERALDA",28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
"FLORES IV",220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,90,0,0,0,0
"FLORES1",65,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLORIDA2",0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,19,19,19,19,19,19,16,16
"GECELCA3",152,145,126,90,90,90,90,140,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164
"GECELCA32",273,239,189,130,130,130,130,180,230,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273
"GUAJIR11",72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
"GUAJIR21",140,134,111,110,94,72,72,72,83,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
"GUATAPE",560,359,108,0,0,0,0,303,511,560,560,560,560,560,560,560,560,560,300,323,300,560,560,560
"GUATRON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUAVIO",912,912,912,912,912,912,912,912,912,912,912,912,912,912,912,912,912,912,912,912,912,912,912,912
"INSULA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
